pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded,repertoire_size,self_similarity,ac_sim,shared,total_rep,mean_spat_dist,mean_ac_sim,dispersal_distance,prop_immigrants,mean_dispersal
20201O53,21.0,8.0,7,tr44766,tw41866,O53,2020,False,,6.0,445348.72,207698.76,True,1.0,,0.3889834245014245,0.0,36.0,176.753,0.40488956666666664,,0.6,348.7
20201O56,15.0,9.0,8,,ts44659,O56,2020,,,,445416.72,208003.76,True,2.0,0.56316,0.3669506745014245,0.0,41.0,259.196,0.3900084833333333,,,
20201O58,16.0,10.0,0,,,O58,2020,,,,445427.72,207495.76,True,1.0,,0.3805371253561254,0.0,38.0,238.666,0.3703254833333333,,,
20201O6,19.0,7.0,0,,,O6,2020,,,,445173.72,208103.76,True,2.0,0.41567,0.408143349002849,4.0,41.0,242.66099999999997,0.42809861666666665,,,
20201O65,37.0,6.0,0,,,O65,2020,,,,445533.33,207430.71,True,,,,,,,,,,
20201O66,14.0,9.0,9,,vj57892,O66,2020,,,,445582.33,207406.71,True,4.0,0.461465,0.39636599002849,4.0,60.0,265.56800000000004,0.40133564166666663,,,
20201O70,17.0,7.0,7,vz31363,ty70702,O70,2020,True,O13A,5.0,445581.33,207542.71,True,5.0,0.39706199999999997,0.35262140256410257,6.0,69.0,209.02399999999997,0.3662542333333333,754.8,0.6,321.7
20201O75,23.0,7.0,0,,tx42668,O75,2020,,,,445771.33,207166.71,True,1.0,,0.3512541239316239,0.0,32.0,434.726,0.30432413333333336,,,
20201O76,22.0,6.0,6,tw41861,tw77014,O76,2020,False,,5.0,445791.33,207210.71,True,,,,,,,,,0.5,888.3
20201O77,20.0,9.0,9,tp27192,tw77015,O77,2020,True,O78A,5.0,445712.33,207287.71,False,,,,,,,,94.8,0.5,884.8
20201O8,21.0,9.0,7,vz33619,ty69074,O8,2020,True,O18,5.0,445208.72,208155.8,True,1.0,,0.3225708974358974,0.0,32.0,270.866,0.31937593333333336,218.4,0.7,731.3
